reached_target,travel_time,collision,safety_violations,too_far_steps,cut_in_happened,cut_in_time,min_front_distance,mean_front_distance,mean_speed,total_reward,mean_abs_acceleration,seed,method,scenario
True,201.8,False,30,129,True,53.1,6.892707221414298,26.377364417827067,19.821773300162537,3765.43485296538,0.9254335089068864,37,Baseline,normal
True,195.10000000000002,False,37,116,True,50.900000000000006,5.142729709698642,26.492848914751303,20.511814530172494,3783.7926323823995,0.7118740411869597,38,Baseline,normal
True,199.9,False,22,140,True,48.800000000000004,10.540129018795028,28.538855069776258,20.014844672031217,3849.214789208826,0.9298324168946505,39,Baseline,normal
True,208.60000000000002,False,29,157,True,70.7,6.0733112340205935,29.39470898833325,19.179858602257333,3771.71260407864,0.8685388981332522,40,Baseline,normal
True,202.0,False,0,39,True,51.2,12.309154437059533,20.60937145799345,19.81056790195142,4282.317257816116,0.5952974987292368,41,Baseline,normal
True,205.8,False,24,82,True,52.1,11.241970374299058,22.78099279295064,19.438073557015514,3946.278939090129,0.7261118332828703,42,Baseline,normal
True,198.20000000000002,False,47,160,True,49.7,7.2665993268576585,31.771856447627595,20.183319832363416,3635.8154526768662,0.741065840733223,43,Baseline,normal
True,199.3,False,38,145,True,51.400000000000006,3.8632151496424285,27.562619210793255,20.07893423496286,3681.281471602265,0.8646131251792377,44,Baseline,normal
True,201.9,False,35,111,True,52.400000000000006,5.631076233732188,25.119000711112754,19.81222472019367,3820.122078449637,0.73068075677737,45,Baseline,normal
True,200.60000000000002,False,0,150,True,53.400000000000006,12.172451578824393,29.51744413998115,19.944945958417488,4066.9501885963195,0.823376128311684,46,Baseline,normal
True,195.3,False,37,184,True,51.7,4.247904712652598,32.79004739047036,20.482683923986627,3723.448216348944,0.6781213413448601,47,Baseline,normal
True,204.9,False,2,0,True,53.1,11.869660997830579,19.958028190398355,19.529716227643288,4336.361569715674,0.5234906804534707,48,Baseline,normal
True,199.3,False,3,92,True,60.6,13.285606222890692,23.30881714169915,20.073393368530066,4158.393879010976,0.6759102006051017,49,Baseline,normal
True,190.60000000000002,False,17,225,True,48.800000000000004,6.792524610280111,40.19177801756601,20.98965590448153,3859.3494153941797,0.7506295907660021,0,CBF,normal
True,200.70000000000002,False,17,36,True,50.5,10.359823665535487,21.103444265008346,19.93365353948787,4118.147265375216,0.6295465869456901,1,CBF,normal
True,202.20000000000002,False,16,98,True,54.1,10.559995315130436,23.55243677024573,19.784612645165435,3955.800676852451,0.7933728981206727,2,CBF,normal
True,197.4,False,30,0,True,51.6,7.004120831875298,20.16553964972454,20.271246321544464,4016.9950238728775,0.6145390070921986,3,CBF,normal
True,200.60000000000002,False,0,161,True,49.900000000000006,11.434920013221017,30.977018793090917,19.94288007390126,4072.8117428245932,0.8137587238285147,4,CBF,normal
True,196.20000000000002,False,13,168,True,53.0,10.879075228318015,31.991893903884318,20.396030788334475,3879.2992406712247,0.9247706422018349,5,CBF,normal
True,205.60000000000002,False,15,29,True,54.5,3.1762640611234474,20.477638868746023,19.460156559051338,4126.509188540956,0.6117217898832685,6,CBF,normal
True,197.5,False,9,158,True,56.1,10.649869314482658,31.199743570033604,20.264023030913563,3974.485548605429,0.8496708860759495,7,CBF,normal
True,199.0,False,24,60,True,47.800000000000004,3.8088108243315446,21.762264737897553,20.112923641318055,3965.5068046222927,0.7666834170854273,8,CBF,normal
